id,summary
0,1313131313131313161010101316111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111116 and11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111116 a1111111111131313131316 (16 (11111111111111111111111111311111111111111111111111ll (1313131313131313131313313131313131313131110ll (131313111111111111111111111111111111111
1,"This study aims to compare the effectiveness of two different mattresses in preventing pressure ulcers in bedridden patients. The experimental group will use a massage mattress with a cube/block system, while the control group will use a standard viscoelastic pressure ulcer prevention mattress. The study will assess the number of patients without pressure ulcers after four weeks.

Please provide a summary of the clinical trial in 300 words or less."
2,"This clinical trial aims to investigate the effect of exercise with augmented reality glasses on metabolic parameters, anthropometric measurement values, and quality of life in children aged 10-12 with type 1 diabetes. The study will be conducted as a randomized controlled trial, with participants divided into an experimental group receiving the intervention and a control group with no intervention. The primary outcome measures will include changes in HbA1c levels, body mass index, and quality of life, measured at baseline, during the 12-week intervention period, and at the end of the control session. The study will also assess the feasibility and acceptability of using augmented reality glasses for exercise in children with type 1 diabetes."
3,"This clinical trial aims to investigate the effect of virtual reality on preoperative anxiety in patients undergoing abdominal surgery. The study will be conducted as a randomized controlled trial with three groups: an experimental group that will watch a virtual reality video with mobile virtual glasses, a placebo group that will watch a non-virtual reality video, and a control group that will not receive any intervention. The study will measure preoperative anxiety levels using the VAS-A scale and a smart wristband with a stress level measurement feature. The sample size will be 96 patients, with 32 patients in each group. The study will be conducted at the Trakya University Health Research Center General Surgery Clinic between March 1, 2023, and December 1, 2023."
4,"The study aims to evaluate the clinical performance and safety of Suture-TOOL for abdominal wound closure in men and women patients undergoing elective open abdominal surgery. The study is a single-arm, open-label, interventional study that will enroll patients who meet the inclusion criteria and exclude those with certain medical conditions or who are taking certain medications. The primary outcome measure is the proportion of patients with a Suture length/Wound length (SL/WL) ratio ≥ 4, and secondary outcome measures include stitch count, numbers of sutures used, incision closure time, surgeons' comfort with the device during closure, and surgeons' satisfaction with the final closure result. The study will be conducted at a single site in Germany.

The study is designed to assess the effectiveness and safety of Suture-TOOL in abdominal wound closure. The device is a suture device for fast and standardized closure of the abdominal fascia. The study will measure the proportion of patients with a SL/WL ratio ≥ 4, which is an indicator of proper wound closure. The study will also assess the stitch count, numbers of sutures used, incision closure time, surgeons' comfort with the device during closure, and surgeons' satisfaction with the final closure result. These measures will help to evaluate the performance and safety of Suture-TOOL in abdominal wound closure.

The study population will consist of men and women patients undergoing elective open abdominal surgery for benign or malignant colorectal disease through a midline incision. Patients with certain medical conditions, such as previous abdominal surgery, clinically significant abnormal physical findings, or a history of anaphylaxis to drugs, will be excluded from the study. The study will be conducted at a single site in Germany, and the primary outcome measure will be assessed during laparotomy closure. The study will also assess secondary outcome measures, such as stitch count, numbers of sutures used, incision closure time, surgeons' comfort with the device during closure, and surgeons' satisfaction with the final closure result.

The study is designed to provide valuable insights into the clinical performance and safety of Suture-TOOL in abdominal wound closure"
5,"This study aims to investigate the immune biomarkers in patients with salivary gland carcinoma. It is an observational study with three groups: patients with primary salivary gland carcinoma, patients with benign salivary gland tumors, and healthy controls. The study will evaluate the changes in the immune matrix, immunophenotyping, cytokines, metabolic state, and microbiomic state of patients over a period of up to 5 years. The study will use various techniques such as liquid immune profile-based signature (LIPS), flow cytometry, electrochemiluminescent MULTI-ARRAY, and mass-spectrometric untargeted metabolomics. The primary outcome measures are the observation of changes in an established immune matrix and longitudinal immunophenotyping of patients.

Note: The information in the summary is based on the provided text and might not represent the full scope of the study."
6,"This clinical trial aims to determine the compliance of multiple sclerosis patients with the Mediterranean diet, their use of nutritional supplements, physical activity habits, walking-related problems, and quality of life. The study will also evaluate the relationship between these parameters. The study will use the 14-item Mediterranean Diet Adaptation Scale (PREDIMED) to determine the adaptation status of individuals to the Mediterranean diet. The quality of life of individuals will be determined by the Multiple Sclerosis International Quality of Life Scale. The 12-item MS Gait Scale will be used to determine the gait impact. The disability status of the patients will be determined using the Expanded Disability Status Scale (EDSS). The study will last for one year and will include assessments at one month, two months, and one year."
7,"This study is a multicenter, prospective, randomized, controlled trial to evaluate the efficacy and safety of selective intensive induction therapy based on ustekinumab clinical decision-making tools in patients with Crohn's disease. The study will compare the clinical response rate at week 24 between the intensive induction regimen and the standard induction regimen. The study will include patients with moderate and low responsive activity, as determined by UST-CDST scores, and will exclude patients with significant liver, kidney, endocrine, respiratory, neurological or cardiovascular diseases, as well as those with fibrous stenosis and prestenosis dilatation. The study will be conducted at multiple centers and will include a total of 100 participants, randomly assigned to either the experimental or control group. The primary outcome measure will be the difference in clinical response rate at week 24 between the two groups.

Please summarize the clinical trial document in 300 words or less."
8,"This study aims to investigate the preferences of culturally and linguistically diverse patients with overactive bladder (OAB) for second-line OAB therapy using a discrete choice experiment. The study includes adult patients with OAB who have not received sacral neuromodulation (SNM) or botox in the past. Participants will fill out a questionnaire that presents them with fictive therapy options, each with its own set of characteristics related to botox and SNM. The primary outcome measure is the patients' choice between the two therapy options, which will be measured using a discrete choice questionnaire. The study will take place in one hour.

Please provide a summary of the clinical trial in 300 characters or less.

Note: The summary should capture the key aspects of the trial, such as the condition being studied, the type of study, the population being studied, and the primary outcome measure."
9,"12 weeks, monthly3 months of healthcare providers' explanation of healthcare provider elaborate summary of healthcare providers' focus on p. Aspect of3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000002222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222"
