id,summary
0,"assistant

This clinical trial aims to investigate the psychological factors associated with nociplastic pain (NP) in women with chronic migraine, fibromyalgia, and vulvodynia. The study will assess the role of personality traits, defense mechanisms, central sensitization, and childhood traumatic experiences in these conditions. The study will use a cluster analysis approach to identify specific psychological clusters that are associated with each condition.

The study will recruit 150 women with chronic migraine, fibromyalgia, and vulvodynia, as well as 50 healthy controls. Participants will complete a series of self-report questionnaires assessing central sensitivity, traumatic experiences, personality traits, defense mechanisms, mental pain, environmental sensitivity, depression, anxiety, and quality of life.

The primary outcomes of the study will be the central sensitivity index, traumatic experiences index, personality traits, defense mechanisms, mental pain, and environmental sensitivity. The secondary outcomes will include the presence and intensity of psychological symptoms of depression, anxiety, and psychosomatics, physical and psychological quality of life, alexithymic traits, perceived social support, sexual satisfaction, and genital pain.

The study will provide valuable insights into the psychological factors that contribute to NP in women with chronic migraine, fibromyalgia, and vulvodynia, and may inform the development of targeted interventions to improve symptom management and quality of life in these women."
1,"assistant

This randomized controlled trial compares the pressure ulcer prevention effects of two mattresses with different support surfaces in bedridden patients. The study includes 18-year-old or older patients with a low risk rating on the Braden Scale, a BMI not exceeding 30, and no pressure sores upon admission. Patients are randomly assigned to either a group using a massage mattress with a cube/block system or a group using a standard viscoelastic pressure sore prevention mattress.

The primary outcome measure is the number of patients without pressure ulcers, assessed after four weeks. Patients in both groups undergo daily pressure ulcer assessments and have their pressure sore area calculated in square centimeters. The study aims to determine if the massage mattress with a cube/block system is more effective in preventing pressure ulcers compared to the standard mattress."
2,"assistant

The study aims to investigate the effect of exercise with augmented reality glasses (AR) on metabolic parameters, anthropometric measurement values, and quality of life in children with Type 1 Diabetes Mellitus (T1DM) aged 10-12. The study will randomly assign 60 children with T1DM to either an experimental group or a control group. The experimental group will participate in a 12-week exercise program using AR glasses, while the control group will receive no intervention. The primary outcome measures will be changes in HbA1c levels, body mass index, and quality of life. The study will assess the effectiveness of AR-based exercise in improving metabolic control, reducing the risk of complications, and enhancing quality of life in children with T1DM."
3,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

Title: The Effect of Virtual Reality on Preoperative Anxiety Before Abdominal Surgery

Objective: To evaluate the effect of virtual reality on anxiety management before abdominal surgery in patients undergoing surgery.

Methodology:

* This is a randomized, parallel-group, open-label study with three arms: experimental (virtual reality glasses), placebo (non-virtual reality glasses), and control (no intervention).
* Patients will be asked to watch a video with or without virtual reality glasses, and their anxiety levels will be measured using the Visual Anxiety Scale (VAS-A) and a smart wristband that detects stress-related changes.
* The study will include 96 patients, aged 18-70 years, who are undergoing abdominal surgery and meet the inclusion criteria.
* The primary outcome measures are the preoperative anxiety levels measured by the smart wristband and VAS-A scale before and after watching the video.

Keywords: anxiety, preoperative period, virtual reality."
4,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

Title: Clinical Performance and Safety of Suture-TOOL for Abdominal Wound Closure in Men and Women Patients Undergoing Elective Open Abdominal Surgery

Objective: To evaluate the clinical performance and safety of Suture-TOOL, a device for fast and standardized closure of the abdominal fascia, in patients undergoing elective open abdominal surgery.

Eligibility: Patients aged 18 years or older with a BMI of 18-40 kg/m2, undergoing elective open abdominal surgery for benign or malignant colorectal disease through midline incision, with an anticipated incision length of ≥ 12 cm.

Intervention: Patients will undergo laparotomy closure with Suture-TOOL.

Primary Outcome Measure: Proportion of patients with a Suture length/Wound length (SL/WL) ratio ≥ 4.

Secondary Outcome Measures: Stitch count, number of sutures used, incision closure time, surgeons' comfort with the device, and surgeons' satisfaction with the final closure result.

The study is a single-arm, open-label, prospective interventional study with a primary purpose of prevention."
5,"assistant

Here is a clear, concise, and accurate summary of the clinical trial:

Title: Immune Biomarker Study for Salivary Gland Carcinoma

Objective: To investigate the immune characteristics of patients with primary salivary gland carcinoma in the head and neck region, and compare them to patients with benign salivary gland tumors and healthy controls.

Design: Observational study with three arms: patients with primary salivary gland carcinoma, patients with benign salivary gland tumors, and healthy controls with functional diseases of the nose or ear.

Interventions: Sampling of blood, saliva, and stool samples from all participants.

Primary Outcome Measures:

1. Changes in an established immune matrix (intratumoral and systemic) using liquid immune profile-based signature (LIPS) and Tumor Associated Lymphocytes (TAL).
2. Longitudinal immunophenotyping of patients to detect about 30 distinct immune cell subtypes and their activation markers.
3. Analysis of cytokines in peripheral blood and their change at certain points in the course of treatment.
4. Analysis of patients' metabolic state using mass-spectrometric untargeted metabolomics.
5. Analysis of patients' microbiomic state by examination of saliva, tumor, and stool samples using 16S rRNA deep sequencing.

Duration: Up to 5 years."
6,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

Title: Determination of Compliance to Mediterranean Diet, Impacts on Walking and Quality of Life in Multiple Sclerosis

Objective: To evaluate the compliance of patients with multiple sclerosis (MS) to the Mediterranean diet, their use of nutritional supplements, physical activity habits, walking-related problems, and quality of life, and to determine if there is a significant relationship between these parameters.

Study Population: Adults aged 18-65 with a diagnosis of MS, who have voluntarily agreed to participate in the research and meet the inclusion criteria.

Primary Outcome Measures:

* Mediterranean Diet Compliance Status (evaluated using the 14-item Mediterranean Diet Adaptation Scale)
* Quality of Life of Multiple Sclerosis Patients (evaluated using the Multiple Sclerosis International Quality of Life Scale)
* Impacts on Walking (evaluated using the 12-item MS Gait Scale)
* Expanded Disability Status Scale (EDSS)

Duration: The study will last for 1 year, with assessments at 1, 2, and 12 months."
7,"assistant

Here is a clear, concise, and accurate summary of the clinical trial:

Title: Efficacy and Safety of Selective Intensive Induction Therapy Based on Ustekinumab Clinical Decision-making Tools in Patients With Crohn's Disease (SIIT-CD Study)

Objective: To evaluate the efficacy and safety of selective intensive induction therapy based on ustekinumab clinical decision-making tools in patients with Crohn's disease.

Design: Multicenter, prospective, randomized, controlled study with a parallel assignment design.

Eligibility: Patients aged 18-75 years with a diagnosis of Crohn's disease, active disease, and moderate to low responsive activity, as determined by UST-CDST scores. Exclusion criteria include extensive colectomy, significant liver or kidney disease, and contraindications to ustekinumab.

Interventions: Participants were randomly assigned to either an experimental group receiving selective intensive induction therapy based on ustekinumab clinical decision-making tools or a control group receiving non-intensive induction therapy.

Primary Outcome Measure: The difference in clinical response rate at week 24 between the intensive induction regimen and standard induction regimen.

The study aims to assess the efficacy and safety of selective intensive induction therapy in patients with Crohn's disease, with a focus on improving treatment outcomes and reducing disease activity."
8,"assistant

The study, ""The Preference of a Culturally and Linguistic Diverse (CALD) Population for Second Line OAB Therapy: a Discrete Choice Experiment"", aims to investigate the preferences of a diverse population with overactive bladder (OAB) for second-line therapies. The study includes adult patients with OAB who have not received sacral neuromodulation (SNM) or onabotulinum toxin A (Botox) in the past. Participants will fill out a questionnaire, making a choice between two fictive therapies with varying characteristics, including Botox and SNM. The primary outcome measure is the discrete choice questionnaire, which will be completed within 1 hour."
9,"assistant

Here is a clear, concise, and accurate summary of the clinical trial:

Title: Three-arm Pragmatic Randomized Study on the Effectiveness, Feasibility, Acceptability, and Cost of the Use of Continuous Glucose Monitoring Devices Among People Living With Type 1 Diabetes in South Africa

Objective: To evaluate the effectiveness, feasibility, acceptability, and cost of continuous glucose monitoring (CGM) devices among people living with type 1 diabetes in South Africa, compared to standard of care and intermittent CGM use.

Design: Three-arm pragmatic randomized controlled study with 15-month duration. Participants will be randomly assigned to one of three arms: Arm 1 (continuous CGM use), Arm 2 (intermittent CGM use), or Arm 3 (standard of care).

Interventions: Arm 1: continuous CGM use for 9 months; Arm 2: intermittent CGM use for 4 time points (2 weeks each) over 9 months; Arm 3: standard of care (self-monitoring of blood glucose).

Outcomes: Primary outcome measure: change in HbA1c levels. Secondary outcomes: variability of blood glucose concentrations, unplanned visits to outpatient clinics and/or hospital, quality of life, acceptability and feasibility of CGM use, and cost of CGM use.

Participants: People living with type 1 diabetes, their caregivers, and healthcare providers at three study clinics in South Africa.

Duration: 15 months.

This study aims to provide evidence on the effectiveness, feasibility, acceptability, and cost of CGM devices in a real-world setting, informing policy and decision-making on their use in South Africa."
